GenA	GenB	MI
MYCT1	ADGRL4	0.413458
WAS	ARHGAP25	0.413284
GPR65	TNFAIP8L2	0.412809
FAM76B	CEP57	0.412602
ALKBH1	SNW1	0.412063
FERMT3	TRPV2	0.412006
TM4SF18	CD34	0.411575
TIE1	MYCT1	0.411532
MNDA	LRRC25	0.411478
MS4A6A	GIMAP1	0.411366
SNW1	FCF1	0.411249
FCER1G	FPR3	0.41116
LCP2	ARHGAP9	0.410886
MRPS30	NIPBL	0.410694
MNDA	AIF1	0.410569
CASZ1	NSMCE1	0.409999
GRPEL1	LETM1	0.409737
LCP2	MYO1F	0.4097
RNF4	TADA2B	0.409508
ATXN10	RPS19BP1	0.409136
ARHGAP9	FAM78A	0.408991
FCER1G	LRRC25	0.40895
SEPTIN1	LCK	0.4088
DIPK2B	TM4SF18	0.408761
ZNF302	ZNF260	0.407833
PLVAP	CD34	0.407495
ACAP1	NLRC3	0.40702
TMEM161A	MVB12A	0.40696
MARK3	KLC1	0.406718
SASH3	FERMT3	0.406661
SLC25A17	ATXN10	0.406495
PSMB6	TIMM22	0.406058
CASZ1	MMAB	0.405969
RASSF4	HAVCR2	0.405909
NLRC3	SEPTIN1	0.405534
CD33	MS4A6A	0.405151
TYROBP	CD86	0.404761
MS4A6A	FCER1G	0.404685
MS4A6A	RNASE6	0.404243
PPP1R14B	PPP1R14BP3	0.404164
NLRC3	SPN	0.403961
APBB1IP	MYO1F	0.403296
RNF4	MAEA	0.403255
UBA2	LSM14A	0.403071
APBB1IP	NCKAP1L	0.402273
ANAPC4	TMEM33	0.401987
LCP2	NCKAP1L	0.401564
ASMTL-AS1	LINC00106	0.401443
NIPBL	ZNF131	0.401053
MYO1F	ARHGAP25	0.401032
FAM157A	LINC01002	0.400968
RASSF4	NCKAP1L	0.400922
FERMT3	ARHGAP25	0.400808
BRIX1	NUP155	0.400405
MAEA	PIGG	0.400151
KEAP1	CHCHD6	0.399985
SASH3	TESPA1	0.399898
ABI3	GIMAP1	0.399835
CCDC82	CEP57	0.399819
WAS	MS4A6A	0.399806
HSPA12B	DIPK2B	0.39973
NOVA2	ARHGEF15	0.399702
SPI1	CD33	0.399631
ZNF227	ZNF225	0.399396
PIK3CG	SNX20	0.399145
WAS	GPR65	0.399135
BTK	AIF1	0.398928
WAS	GIMAP1	0.398902
ATXN3	DCAF5	0.398844
ZNF230	ZNF224	0.398663
TNFAIP8L2	GIMAP1	0.398551
ZFR	NIPBL	0.398322
DIPK2B	ADGRL4	0.397993
BTK	C3AR1	0.39789
ZFR	RAD1	0.397595
CD86	FERMT3	0.397554
LCP2	SASH3	0.397471
TIE1	TEK	0.397452
MYCT1	CD34	0.397428
EMCN	ARHGEF15	0.397359
FOXP3	HNRNPA1P21	0.397173
WAS	PIK3R6	0.397039
DNAJC21	ZNF131	0.396955
GIMAP6	TNFAIP8L2	0.39694
PLVAP	ADGRL4	0.396912
FAM78A	SPN	0.396691
ZNF230	ZNF225	0.396621
WAS	CD226	0.396397
SPI1	FERMT3	0.396372
SPI1	FPR3	0.396149
FERMT3	GIMAP1	0.396147
TRIP11	CPSF2	0.396005
BCL7C	NSMCE1	0.395689
PTMAP2	PTMAP5	0.395611
TNFAIP8L2	AIF1	0.395561
ARHGAP9	LCK	0.395523
TRAPPC11	RWDD4	0.395419
GNA11	FZR1	0.395275
BRPF1	SETD2	0.395183
SPI1	MS4A6A	0.395089
SPI1	C3AR1	0.394899
NSUN2	ICE1	0.39486
BTK	GIMAP1	0.394754
FASTKD3	ICE1	0.394701
LCP2	FERMT3	0.39439
TESPA1	SNX20	0.39422
SMUG1	CASZ1	0.394194
MAP4K1	RASAL3	0.394177
DOK2	TNFAIP8L2	0.394095
TEK	MYCT1	0.394027
FCER1G	CSF1R	0.393826
FZR1	CSNK1G2	0.393648
FERMT3	AIF1	0.393249
NCKAP1L	MYO1F	0.392987
MYCT1	EMCN	0.392788
TNIP2	TADA2B	0.392163
DVL3	UBXN7	0.39198
BTK	MNDA	0.39192
FCER1G	SLC8A1	0.391898
PIM2	P2RX1	0.391896
RPRD1B	RALGAPB	0.391744
BTK	SPI1	0.391694
ACAP1	FAM78A	0.391441
APBB1IP	PIK3R5	0.391438
AGAP2	LCK	0.391382
LRRC25	AIF1	0.390978
SIGLEC9	C3AR1	0.390976
WAS	RASAL3	0.390956
RNASE6	C3AR1	0.390932
FARS2	LYRM4	0.390841
BABAM1	UBA52	0.390735
RNF4	GRPEL1	0.390305
ARHGAP9	SEPTIN1	0.390277
SCAP	IP6K1	0.390267
CD34	EXOC3L2	0.389926
ARHGEF6	SNX20	0.389881
ELAC2	TIMM22	0.389749
HSPA12B	ARHGEF15	0.389699
TSR1	GEMIN4	0.389423
NCKAP1L	HAVCR2	0.389393
DROSHA	DNAJC21	0.389315
RANBP3	SGTA	0.389313
KLC1	BRF1	0.38891
PRKCQ	PRKCQ-AS1	0.388909
PTPN7	SNX20	0.388506
XAB2	GTF2F1	0.388396
EAF1	BRPF1	0.388191
CD37	FERMT3	0.388082
PIK3CG	NCKAP1L	0.387676
BTK	GPR65	0.387477
RTL8C	RTL8A	0.387379
MRPS30	RAD1	0.387306
ALKBH1	DCAF5	0.387167
SASH3	IKZF1	0.387165
RPL17P6	RPL17P18	0.386911
ZNF330	USP38	0.386831
WAS	PTPN7	0.386802
AIF1	SLC39A13-AS1	0.386672
RNASE6	GIMAP1	0.386319
WAS	CD37	0.386318
C5orf22	NUP155	0.386272
SLC39A9	ALKBH1	0.386256
C5orf22	DROSHA	0.386089
BAP1	RBM15B	0.385972
CD86	HAVCR2	0.38597
MS4A6A	MS4A7	0.385912
CD33	CSF1R	0.385884
TIE1	CLEC14A	0.385801
RBSN	RAD54L2	0.385502
C5orf22	NIPBL	0.385267
MS4A6A	LY86	0.385241
DCUN1D1	FYTTD1	0.385128
LMF1	SIL1	0.385026
PIK3CG	IKZF1	0.384919
S1PR1	CLEC14A	0.384798
NCKAP1L	GIMAP1	0.384623
MAP4K1	NLRC3	0.384539
ZNF45	ZNF227	0.384374
MED6	EIF2S1	0.384353
BTK	RNASE6	0.384035
RASAL3	LCK	0.383893
ZMYND15	CXCL16	0.383814
LCP2	SNX20	0.383712
PSMC6	ACTR10	0.383463
WAS	ACAP1	0.383284
NAA15	ABCE1	0.383125
TTN	TTN-AS1	0.382992
SUB1	BRIX1	0.382875
TYROBP	LRRC25	0.382861
NCKAP1L	ARHGAP25	0.382465
DROSHA	MARCHF6	0.382249
ADGRL4	CLEC14A	0.382116
SPI1	LY86	0.382034
BTK	WAS	0.38193
PDCD2	TCP1	0.381757
FAM78A	NLRC3	0.381698
FERMT3	FCER1G	0.381632
CASZ1	ALG1L1P	0.381584
STAB1	GPR34	0.381502
TYROBP	RNASE6	0.381382
THUMPD3	SETD2	0.381218
FASTKD3	NIPBL	0.381218
GIMAP6	PLCB2	0.381217
BTK	SNX20	0.38109
ADGRF5	PLVAP	0.38102
KDR	GPR4	0.381013
RBX1	XRCC6	0.380887
YJU2B	CC2D1A	0.380784
SLC25A17	RPS19BP1	0.380723
MAEA	FAM193A	0.380486
SASH3	GIMAP1	0.380441
CD37	ARHGAP25	0.380427
RAMP3	S1PR1	0.38035
FERMT3	GAB3	0.380185
NOVA2	DIPK2B	0.380168
PUM3	RCL1	0.380157
EEF1A1P12	EEF1A1P9	0.38003
SLC25A17	PHF5A	0.380024
COPE	PGLS	0.37977
PLVAP	EXOC3L2	0.379726
SIGLEC9	LRRC25	0.379632
GIMAP6	GIMAP8	0.379623
APBB1IP	IKZF1	0.379514
SCO1	TSR1	0.379422
CHERP	RAVER1	0.379409
PUM3	FOCAD	0.379177
CD93	ADGRL4	0.379092
MZT2A	CCDC57	0.379065
C5orf22	PAIP1	0.378961
FERMT3	PIK3R6	0.378814
FAM76B	CCDC82	0.378735
BTK	SLC39A13-AS1	0.378679
RNASE6	LRRC25	0.378648
AFG1L	PDSS2	0.378501
COX10	SCO1	0.37839
BTK	TRPV2	0.378006
ZNF577	ZNF649	0.377951
CASZ1	CCDC57	0.377904
CORO1A	RASAL3	0.377898
TENT4A	MARCHF6	0.377845
ACAP1	AGAP2	0.377572
PAFAH1B1	PSMB6	0.377231
ARHGAP9	TESPA1	0.377117
ZNF225	ZNF224	0.376953
ZNF574	ZNF526	0.376888
APBB1IP	FERMT3	0.376765
BCL7C	ELOB	0.376656
BTK	LY86	0.376456
SGTA	HDGFL2	0.376421
INTS10	CHMP7	0.376359
ZNF567	ZNF260	0.376324
APBB1IP	PIK3R6	0.376208
KDR	CD34	0.376153
BTK	CD37	0.376037
APBB1IP	ARHGAP25	0.376015
ADGRF5	ADGRL4	0.375905
RNF6	CDK8	0.375885
MARK3	WDR20	0.375848
ADGRL4	S1PR1	0.375717
MRPS30	DROSHA	0.375639
COX10	ELAC2	0.375533
NUP155	ZNF131	0.375235
CCNA2	MAD2L1	0.375192
TIE1	ARHGEF15	0.375184
PAIP1	ZNF131	0.375157
CD33	NCKAP1L	0.375122
TRNT1	GORASP1	0.375093
ARHGAP9	SPN	0.375083
RASAL3	TESPA1	0.375018
C5orf22	ICE1	0.374996
SPI1	AIF1	0.374951
TTC33	DNAJC21	0.374608
RPS10P7	CSRP1-AS1	0.374489
MAP4K5	KLHL28	0.374451
TRAPPC10	MCM3AP	0.374425
IL16	SEPTIN1	0.374324
RAD1	BRIX1	0.374312
GIMAP6	TMEM273	0.374148
CD34	ARHGEF15	0.374095
MED10	MRPL36	0.374069
DNPEP	AAMP	0.374064
DROSHA	TARS1	0.373982
ABI3	TNFAIP8L2	0.373793
PIK3CA	DVL3	0.373782
MNDA	C3AR1	0.373664
SPI1	LRRC25	0.373476
NIPBL	RICTOR	0.373319
ZNF180	ZNF224	0.373234
CD4	NCKAP1L	0.373199
DIPK2B	S1PR1	0.373134
GIMAP6	SPN	0.373071
TARS1	NUP155	0.373042
BTN3A1	BTN3A3	0.373014
MYBBP1A	SCO1	0.372798
BTK	MYO1F	0.372794
TUBGCP4	ZSCAN29	0.372699
SLC39A3	THOP1	0.372627
CENPF	KIF14	0.372551
TARS1	RAD1	0.372487
TYROBP	FPR3	0.372357
DOCK2	IL16	0.372151
MS4A6A	GAB3	0.372042
ROBO4	TM4SF18	0.37204
EI24	RPUSD4	0.37201
MED13	BPTF	0.371906
LCP2	GAB3	0.37189
ARHGAP25	GIMAP1	0.371874
DOCK2	TESPA1	0.37185
RANBP3	FZR1	0.371816
NCKAP1L	PIK3R6	0.371773
ATP5F1D	POLRMT	0.371572
DHX30	WDR82	0.371536
SMARCA5	ABCE1	0.371325
ZNF227	ZNF230	0.371322
SASH3	LCK	0.371313
ECSIT	RPS28	0.371235
MS4A6A	C3AR1	0.371124
SASH3	ARHGAP9	0.370832
TM4SF18	EXOC3L2	0.370475
RBSN	UBP1	0.37034
GIMAP8	GIMAP1	0.370312
MS4A6A	TRPV2	0.370172
ASH1L	GON4L	0.370049
DDX12B	DDX12P	0.369931
DOCK2	FERMT3	0.369884
DDX27	RALGAPB	0.369546
FXR2	PRPF8	0.369533
SDHA	CCDC127	0.369283
CD4	LY86	0.369214
XAB2	MAP2K2	0.369158
DHX30	SETD2	0.369153
SASH3	IL16	0.369104
ELAC2	SCO1	0.369039
SMUG1	PPCDC	0.369003
BTK	TASL	0.368448
C1orf162	DOK2	0.368441
ELAC2	FXR2	0.368439
TYROBP	NCKAP1L	0.368109
ZFR	NUP155	0.368053
ADGRF5	PCDH17	0.368041
BTK	TNFAIP8L2	0.367991
UBE2K	TMEM33	0.367933
ZNF45	ZNF230	0.36793
BTK	CD86	0.367925
APBB1IP	SASH3	0.367664
ZNF430	ZNF714	0.367495
PRKAR2A	ATRIP	0.367468
NIPBL	RIMOC1	0.367437
RAD1	FASTKD3	0.367315
PARP9	DTX3L	0.367295
NCKAP1L	ARHGAP30	0.367178
ABI3	MS4A6A	0.367171
WDR48	CNOT10	0.367166
MS4A6A	AIF1	0.367013
MED11	GLOD4	0.366992
THOC2	RBMX2	0.366817
FERMT3	MNDA	0.366757
PTPN7	ARHGAP30	0.366615
WAS	IKZF1	0.366559
DCUN1D1	UBXN7	0.366552
NOS1AP	C1orf226	0.366539
MRPS30	FASTKD3	0.366441
PLCB2	MYO1F	0.366396
SASH3	FAM78A	0.366393
CD86	CD80	0.366353
TNFAIP8L2	LRRC25	0.366205
DHX30	USP19	0.366163
WAS	DOCK2	0.366145
SNX20	IL16	0.366069
PIK3CG	IL16	0.366023
NCKAP1L	GIMAP6	0.365992
SLC8A1	AIF1	0.36598
POLA2	MMAB	0.365968
TNFAIP8L2	RNASE6	0.365915
MYCT1	TM4SF18	0.365835
PAK4	SAMD4B	0.365823
GIMAP6	DOK2	0.365771
TMEM267	PAIP1	0.365748
MRPS30	NUP155	0.365658
BTK	FCER1G	0.36558
ADGRL4	TM4SF18	0.365542
KNL1	ARHGAP11A	0.365477
CD4	FERMT3	0.365469
ELAC2	C1QBP	0.365379
MYCT1	CLEC14A	0.365328
PTPN7	LCK	0.365322
DNAJC21	RIMOC1	0.365262
DIPK2B	ROBO4	0.365251
MMAB	ALG1L1P	0.365194
ARHGAP25	IL16	0.365107
C5orf22	MRPS30	0.365085
SIL1	MMAB	0.365033
RNF4	PIGG	0.364992
CD300A	LRRC25	0.364894
TNFAIP8L2	SLC39A13-AS1	0.364872
EAF1	PDE12	0.364871
RAD1	TTC33	0.364772
ELAC2	PRPF8	0.364735
STT3A	DPAGT1	0.364609
SASH3	NLRC3	0.364573
TMEM33	NELFA	0.364326
APBB1IP	ARHGAP9	0.364164
BCL7C	ALG1L1P	0.364157
ACAP1	TESPA1	0.363895
PSMA1	MRPL23	0.363869
OXCT1	RAD1	0.363825
ASH1L	YY1AP1	0.363815
CCT5	ICE1	0.363801
ADGRF5	CD34	0.363764
MAP4K1	ARHGAP9	0.363732
TYROBP	LY86	0.363724
NCKAP1L	IL16	0.363649
DHX30	THUMPD3	0.363551
FAM3A	TAFAZZIN	0.363534
GAR1	NAA15	0.363505
CD33	FCER1G	0.363492
ABI3	FERMT3	0.363482
SASH3	GAB3	0.363454
C1orf162	TNFAIP8L2	0.363312
ICE1	NIPBL	0.363259
RNF4	WDR1	0.363204
TASL	SLC39A13-AS1	0.363156
DOCK2	GAB3	0.363091
APBB1IP	DOCK2	0.363072
WDR48	SMARCC1	0.36304
SGTA	FZR1	0.363002
GIMAP6	FERMT3	0.362909
CD93	DIPK2B	0.362855
LRRC25	SLC39A13-AS1	0.362792
CD37	NCKAP1L	0.362776
DROSHA	ZNF131	0.362761
SPI1	MARCHF1	0.362719
XRCC3	BRF1	0.362514
UBE2K	PDS5A	0.362468
CD226	IKZF1	0.362443
BTK	ARHGAP25	0.362414
PIK3R5	IKZF1	0.362259
ARHGAP9	PIK3R6	0.362174
CCDC174	BRPF1	0.362071
EAF1	SETD2	0.36207
C5orf22	BRIX1	0.362033
MAP3K7	RARS2	0.361997
EAF1	DPH3	0.361964
CD93	S1PR1	0.36183
MYCT1	ARHGEF15	0.361814
SIL1	C7orf50	0.361812
PAIP1	RIMOC1	0.361666
CCT5	ZNF622	0.361643
SNX20	PIK3R6	0.361617
PIGG	NELFA	0.361558
DCAF1	WDR82	0.361488
SNRPB	SNRPB2	0.361453
SASH3	GPR65	0.361445
TASL	GPR65	0.361174
LCP2	CD226	0.361146
CD80	FCER1G	0.361051
ELAC2	MAP2K4	0.360988
POLR2C	NUDT21	0.360963
CORO1A	PTPN7	0.360905
CORO1A	ARHGAP9	0.360811
APBB1IP	SNX20	0.3608
LCP2	PTPN7	0.360736
SGTA	THOP1	0.36069
CCDC174	DPH3	0.36047
VPS53	CTDNEP1	0.36039
NSMCE1	CCDC57	0.360362
ADGRF5	CD93	0.360354
APBB1IP	GAB3	0.360217
NUP54	ENOPH1	0.360204
C3AR1	CSF1R	0.360191
PLCB2	GIMAP1	0.360183
WAS	PLCB2	0.360138
HOXD9	HOXD10	0.360127
CD4	SPI1	0.359965
BTK	GIMAP6	0.359953
NOP14	GRPEL1	0.359936
TASL	GIMAP1	0.359893
POP4	RBM42	0.359777
C1orf162	AIF1	0.359726
MAEA	NELFA	0.359706
RANBP3	PIAS4	0.359661
NSUN2	MARCHF6	0.359645
FERMT3	FPR3	0.359584
GPR65	FERMT3	0.359487
PRPF8	GEMIN4	0.359408
ADGRF5	TEK	0.359363
DNAL1	ABCD4	0.359347
ADGRF5	TM4SF18	0.359192
WAS	CYTH4	0.35919
FASTKD3	MARCHF6	0.359113
SATB2	SATB2-AS1	0.359032
PIK3CG	DOCK8	0.35898
BEX3	TCEAL9	0.358854
TIMM13	SGTA	0.358822
CD4	BTK	0.358788
COPE	UBA52	0.358757
DHX33	PFAS	0.35875
NCKAP1L	AIF1	0.358749
PPCDC	MMAB	0.358688
TESPA1	ARHGAP25	0.358512
TNIP2	LETM1	0.358486
DPH1	GEMIN4	0.35835
RAD1	PAIP1	0.358343
APBB1IP	PLCB2	0.358299
ARHGAP9	AGAP2	0.358032
GPR65	AIF1	0.35795
RBSN	IP6K1	0.357932
ELOB	CASZ1	0.357866
NCKAP1L	TESPA1	0.357831
ACAP1	LCK	0.357669
MTRF1	GPALPP1	0.357652
SRP54	EAPP	0.357613
CKMT1A	CKMT1B	0.357428
ABI3	GIMAP6	0.35742
URI1	C19orf12	0.357374
ZNF230	ZNF226	0.357319
UBP1	CCDC174	0.357196
CCR1	LRRC25	0.357071
GNA11	CACTIN	0.356768
YWHAE	FXR2	0.356702
MRPS30	BRIX1	0.356672
TEK	CD34	0.356618
TESPA1	IKZF1	0.356613
TESPA1	PTPN7	0.356461
MAP4K1	PTPN7	0.356424
PCDH17	CD34	0.356419
CYTH4	ARHGAP25	0.356409
CINP	COA8	0.356347
ZNF414	RAB11B	0.356261
CTBP1	NELFA	0.356236
MAP4K1	LCK	0.356224
DTNBP1	FARS2	0.356207
FIG4	CEP57L1	0.356119
WDR82	RBM15B	0.356089
PFN1	EIF5A	0.355868
TENT4A	OTULIN	0.355826
HAVCR2	FCER1G	0.355751
WIZ	RAD23A	0.355726
LCK	SPN	0.35572
ADGRF5	DIPK2B	0.355702
ZNF567	ZNF527	0.355611
GOLGA6L9	UBE2Q2P2	0.35558
SNW1	MED6	0.355521
DROSHA	SUB1	0.355514
DOHH	THOP1	0.35549
TEK	EMCN	0.355487
RAD1	ICE1	0.355468
C3AR1	FPR3	0.35545
MED1	CDK12	0.355357
TYROBP	TRPV2	0.355354
ZNF264	ZNF543	0.355172
XAB2	SIRT6	0.355076
RASAL3	CD226	0.35505
RASAL3	SPN	0.354991
C1QBP	SENP3	0.354902
RAD18	SETD2	0.354889
MYCT1	CD93	0.354867
WDR48	CCDC174	0.354815
BTK	PIK3CG	0.354748
FBXW9	GET3	0.354647
CD34	CLEC14A	0.354647
MAEA	TADA2B	0.354624
RAD1	SKP2	0.354582
NCKAP1L	IKZF1	0.3545
RASAL3	GAB3	0.354492
PCDH17	PLVAP	0.35446
SNX20	TRPV2	0.354429
GRPEL1	LYAR	0.354366
LAMTOR5	RTCA	0.354231
HDGFL2	THOP1	0.354227
MARCHF6	NIPBL	0.354125
ERH	MED6	0.354061
SPI1	CD300A	0.353976
TYROBP	MNDA	0.35393
DDX27	AAR2	0.353929
ZFR	RIMOC1	0.353924
MAP2K2	MED16	0.353878
UBP1	SETD2	0.353806
NSUN2	CCT5	0.353754
TIMM13	LSM7	0.353715
ELAC2	PSMB6	0.353665
MRPS30	MARCHF6	0.353584
TSR1	PRPF8	0.353538
GAB3	PIK3R6	0.353514
CRK	GLOD4	0.353349
PDGFRB	LRRC32	0.353198
TESPA1	SEPTIN1	0.35318
ATG5	SNX3	0.353171
PSMD4	PSMB4	0.352932
BRIX1	ZNF131	0.352887
LCP2	IKZF1	0.352846
NKTR	SETD5	0.352835
TEK	HSPA12B	0.352714
POP4	URI1	0.352711
HAVCR2	FERMT3	0.352702
ADGRL4	ARHGEF15	0.352655
ZNF45	ZNF225	0.352654
RASSF4	FERMT3	0.352626
FIZ1	ZNF17	0.35261
PLVAP	DIPK2B	0.352512
APBB1IP	TESPA1	0.352476
TM4SF18	ARHGEF15	0.35246
MARCHF6	ICE1	0.352415
MS4A6A	GPR65	0.352406
ESAM	TM4SF18	0.352398
SIL1	CASZ1	0.352368
BRIX1	MRPL36	0.352345
TYROBP	CD80	0.352313
CD4	GAB3	0.352288
ARHGAP9	SNX20	0.352235
MS4A6A	HAVCR2	0.352197
ARHGAP9	ARHGAP30	0.352054
ZNF317	ZNF791	0.352021
VCPKMT	ALKBH1	0.351988
CD4	MS4A6A	0.351973
NCAPH	BUB1	0.351799
ARHGAP9	GAB3	0.351668
RPLP2	MRPL23	0.351623
XAB2	STXBP2	0.351554
SASH3	PIK3R6	0.351541
EMCN	CLEC14A	0.351467
ARCN1	SRPRA	0.351447
ACAP1	CD226	0.351438
ANKRD44	NLRC3	0.351399
ZFR	ZNF131	0.351378
TBC1D7	LYRM4	0.351298
SASH3	ARHGEF6	0.351261
RASAL3	SASH3	0.351259
LETM1	TADA2B	0.351195
MAEA	CTBP1	0.351176
SNX20	IKZF1	0.351061
MS4A6A	ARHGAP25	0.351031
ACAP1	CD37	0.350988
ITGA4	GIMAP6	0.35091
ITGAX	LILRB3	0.350675
GAB3	SNX20	0.350649
YJU2	HDGFL2	0.350648
MED10	ICE1	0.350498
C3AR1	SLC39A13-AS1	0.350427
DOK2	AIF1	0.350394
FAM78A	LCK	0.350346
LCP2	GNG2	0.350323
NCBP3	ANKFY1	0.350289
DOCK2	ARHGAP30	0.350255
TIE1	EMCN	0.35022
TESPA1	LCK	0.350203
PIK3CG	SASH3	0.350169
SASH3	ARHGAP30	0.35005
RAD18	FANCD2	0.349953
C5orf22	RIMOC1	0.349776
FXR2	TIMM22	0.349726
SPI1	MYO1F	0.349676
PIN1	ECSIT	0.349666
RANBP3	YJU2	0.349665
CD37	SNX20	0.349659
RAD18	RBSN	0.349656
TYROBP	C1orf162	0.349589
CTBP1	PIGG	0.349576
RAB33A	SEPTIN1	0.349545
GON4L	YY1AP1	0.349425
SLC4A1AP	GPN1	0.349412
RPS15P4	RPL6P27	0.349372
TMEM33	DHX15	0.349333
SNW1	EIF2S1	0.349322
ADGRF5	ARHGEF15	0.349193
OXCT1	DROSHA	0.34912
LY86	CSF1R	0.349055
MFSD10	PIGG	0.349037
CACTIN	PIP5K1C	0.348722
TIE1	CD93	0.348675
PSMA3	ERH	0.348659
BRIX1	DNAJC21	0.348621
FERMT3	C3AR1	0.348598
STAB1	C3AR1	0.348595
RBM5	NKTR	0.348572
FCER1G	MNDA	0.348439
CD93	ARHGEF15	0.348351
TNIP2	NELFA	0.34835
TECR	COPE	0.348224
TTC33	NIPBL	0.348135
SIL1	FARS2	0.34805
MAP4K1	IL16	0.34799
NCKAP1L	PLCB2	0.347979
LCP2	DOCK2	0.347942
RAD18	WDR48	0.34793
GAB3	GIMAP1	0.34787
GPR65	SLC39A13-AS1	0.347851
RASAL3	ARHGAP30	0.347849
TECR	BABAM1	0.34776
ANAPC4	PIGG	0.347701
DHX33	GEMIN4	0.347579
SLC39A3	HDGFL2	0.347573
DHX30	RBM15B	0.347572
DOK2	RNASE6	0.347475
WDR1	GRPEL1	0.347474
EXOC5	NAA30	0.347469
