GenA	GenB	MI
DOCK2	GAB3	0.412222
MNDA	FPR3	0.412057
BTK	SNX20	0.411709
ARHGAP9	DOCK2	0.411553
BTK	MS4A6A	0.411517
WAS	SPN	0.411511
CORO1A	SEPTIN1	0.411482
RASAL3	AKNA	0.411352
BTK	GPR65	0.411193
RASAL3	PIK3CG	0.411084
ADGRF5	CD34	0.410949
MYCT1	EMCN	0.410844
CCR1	C3AR1	0.410793
MMAB	NSMCE1	0.410753
DIPK2B	TM4SF18	0.410743
CYTH4	IL16	0.410634
CYTH4	DOCK2	0.410342
CYTH4	FAM78A	0.410193
PCDH17	ADGRL4	0.409994
EMCN	CD34	0.409929
ADGRF5	CD93	0.409788
WAS	RHOH	0.409765
CYTH4	NCKAP1L	0.409736
RWDD4P2	RWDD4	0.409661
ELOB	CASZ1	0.409449
ZNF577	ZNF649	0.40929
SASH3	TAGAP	0.409056
CD37	MYO1F	0.409026
CD4	LAPTM5	0.409003
SASH3	ARHGEF6	0.408941
HAVCR2	TRPV2	0.408842
DIPK2B	LDB2	0.408698
TYROBP	FPR3	0.408638
CD4	TRPV2	0.408136
PIK3CG	ARHGAP9	0.408002
SPI1	MNDA	0.407735
MS4A6A	C3AR1	0.407071
PIK3R5	TRPV2	0.407011
PUM3	MTAP	0.406743
LDB2	CLEC14A	0.406495
WAS	TESPA1	0.406433
APBB1IP	SASH3	0.406311
SASH3	RHOH	0.406272
CORO1A	NCKAP1L	0.406221
PLVAP	ADGRL4	0.40615
GIMAP6	GPR65	0.406126
ACAP1	SELPLG	0.406023
NCKAP1L	IL16	0.405986
SELPLG	IL16	0.405899
PIK3CG	TAGAP	0.405589
APBB1IP	PIK3R5	0.40558
ZNF567	ZNF260	0.405524
LCP2	ARHGAP9	0.405206
CD4	CSF1R	0.405056
MYO1F	GIMAP1	0.404937
HAVCR2	FPR3	0.404887
TEK	CLEC14A	0.404873
LCP2	GPR65	0.404815
SASH3	SEPTIN1	0.404629
BTK	SASH3	0.404584
ARHGAP9	LCK	0.404501
DOCK2	TAGAP	0.404327
DOCK2	PTPN7	0.404217
PTPN23	USP19	0.404035
MYL12A	MYL12B	0.40389
MYCT1	CD34	0.403869
MNDA	C3AR1	0.403715
MYO1F	IKZF1	0.403507
IFFO1	GIMAP1	0.403439
LCP2	FAM78A	0.40342
CD86	NCKAP1L	0.403269
RASAL3	NCKAP1L	0.403199
ARHGAP9	SNX20	0.402872
LCP2	HAVCR2	0.402642
RASAL3	FERMT3	0.402537
MS4A6A	NCKAP1L	0.40253
IER2	JUNB	0.402499
AKNA	NLRC3	0.401885
TYROBP	SPI1	0.401813
ARHGAP9	MYO1F	0.401701
TIE1	DIPK2B	0.401631
DOCK2	CD226	0.401416
SIL1	CCDC57	0.401171
FCER1G	MS4A7	0.401135
NAA50	QTRT2	0.400919
PIK3R5	GAB3	0.400759
FERMT3	FPR3	0.400566
RNASE6	AIF1	0.400331
RASAL3	GIMAP1	0.400306
PCDH17	ARHGEF15	0.400241
LCP2	GIMAP6	0.400097
ABI3	SNX20	0.399589
BCL7C	FARS2	0.399445
LCP2	IL16	0.39936
CD37	FAM78A	0.399089
PIK3CG	PTPN7	0.398942
TESPA1	SNX20	0.398798
RASAL3	SELPLG	0.398656
ACAP1	DOCK2	0.398637
CORO1A	FERMT3	0.398587
IL16	LCK	0.398545
TM4SF18	CLEC14A	0.398448
TBC1D7	FARS2	0.398287
LCP2	GAB3	0.398172
TIE1	ADGRL4	0.398087
PLVAP	CD34	0.397879
RAF1	BRPF1	0.397689
BTK	CD33	0.397672
GPKOW	CCDC22	0.397222
GTF2IRD2B	GTF2IRD2	0.396947
ZNF529	ZNF420	0.39685
CASZ1	MMAB	0.396794
SIL1	NSMCE1	0.396655
DOCK2	SEPTIN1	0.396389
CD37	SNX20	0.396188
WAS	CYTH4	0.39606
TYROBP	MS4A7	0.396003
PIK3CG	CD226	0.39595
FERMT3	LAPTM5	0.395915
FAM78A	PTPN7	0.395804
MYCT1	LDB2	0.395676
UBA3	PSMD6	0.395528
RPL32P18	RPL15P3	0.395473
CD86	LAPTM5	0.395378
LYRM2	RTN4IP1	0.39531
BCL7C	SIL1	0.39505
TEK	MYCT1	0.394857
DROSHA	NIPBL	0.394772
PLK4	MAD2L1	0.394699
PCDH17	CD34	0.394694
APBB1IP	IKZF1	0.394069
LCP2	LAPTM5	0.394058
APBB1IP	PIK3CG	0.394042
TESPA1	IL16	0.394012
MS4A6A	MS4A7	0.393893
ADGRF5	TM4SF18	0.393795
PPCDC	MMAB	0.393676
RTL8C	RTL8A	0.393674
CD86	FPR3	0.393643
SMUG1	PPCDC	0.393531
RASAL3	MYO1G	0.393368
APBB1IP	CORO1A	0.393123
CLEC2D	RASAL3	0.392867
NOVA2	ARHGEF15	0.392744
BTK	CYTH4	0.39257
HAVCR2	C3AR1	0.392544
MAP4K1	NLRC3	0.39253
TLR4	ZEB2	0.392473
CD93	DIPK2B	0.392468
H2BC5	H2AC6	0.392298
TIE1	TEK	0.392085
FAM76B	CEP57	0.391793
TEK	CD34	0.391757
CD33	NCKAP1L	0.391741
NLRC3	SPN	0.391577
TEK	ADGRL4	0.391538
SHARPIN	MAF1	0.391245
CD4	HAVCR2	0.390784
NBPF14	NBPF10	0.390672
CCR1	LRRC25	0.390667
SELPLG	SEPTIN1	0.390591
ACAP1	IKZF1	0.39054
STT3A	SRPRA	0.390468
CD4	LCP2	0.390341
DOCK8	SASH3	0.39032
SASH3	TESPA1	0.390158
RHOH	IKZF1	0.390094
CYTH4	TRPV2	0.389795
EEF1A1P12	EEF1A1P19	0.389767
BTK	SPI1	0.389737
ABI3	FERMT3	0.389704
SPI1	NCKAP1L	0.389687
CD37	SELPLG	0.389492
MKRN2	BRPF1	0.389488
STK25	MTERF4	0.389465
FERMT3	GIMAP1	0.389404
NCBP2	SENP2	0.389363
MAP4K1	IL16	0.389241
CD37	GIMAP1	0.389133
ZXDA	ZXDB	0.389107
ACAP1	MYO1G	0.389073
TESPA1	PTPN7	0.389
ZNF816	ZNF468	0.388987
RTN4IP1	CCDC57	0.38881
FAM78A	GIMAP1	0.388421
PTMAP2	PTMAP5	0.38841
APBB1IP	PARVG	0.388381
MYCT1	CLEC14A	0.388365
CORO1A	MYO1G	0.388213
LCP2	SEPTIN1	0.388041
FARS2	CCDC57	0.387852
NCKAP1L	FPR3	0.3878
APBB1IP	CD226	0.387789
ASMTL-AS1	LINC00106	0.387772
ZNF671	RASAL3	0.387588
DCTN6	PPP2CB	0.387313
PARVG	FERMT3	0.387221
ADGRL4	EMCN	0.387086
FCER1G	LRRC25	0.387064
CD37	TRPV2	0.386834
MS4A6A	FPR3	0.386766
DCAF1	USP19	0.386652
BTK	HAVCR2	0.386607
CD37	IKZF1	0.386573
BCL7C	MICOS10	0.386427
MRFAP1L1	MRFAP1	0.386154
JAM2	EMCN	0.385981
APBB1IP	RASAL3	0.385966
FCGR2A	MS4A7	0.385812
BTK	GAB3	0.385783
RASAL3	ARHGEF6	0.385622
PIK3CG	GIMAP6	0.385564
SASH3	DOK2	0.385538
HOXB2	HOXB4	0.385363
LCP2	ACAP1	0.385295
KIF11	KIF20B	0.385282
SNX20	IL16	0.385263
SELPLG	SASH3	0.38525
VAMP7	VBP1	0.385143
SPI1	TRPV2	0.38512
DOCK2	LCK	0.385027
PIK3CG	DOCK8	0.384943
ATAD2	MTBP	0.384941
GIMAP6	DOCK2	0.384871
TAGAP	RHOH	0.384867
ZNF671	IL16	0.384647
CD4	GAB3	0.384452
TRAF3IP3	SASH3	0.384191
ACAP1	PIK3CG	0.384184
RBM5	NISCH	0.384133
CORO1A	CD37	0.383869
SELPLG	NCKAP1L	0.383864
NOVA2	PLVAP	0.383822
SNX20	TRPV2	0.383621
TM4SF18	ARHGEF15	0.383426
BTK	TASL	0.383354
TRAF3IP3	RASAL3	0.383306
COL4A2	COL4A1	0.383068
ABI3	MYO1F	0.383063
APBB1IP	IL16	0.383029
PIK3CG	TRPV2	0.382848
PAIP1	ZNF131	0.382845
CD33	MNDA	0.382651
GLOD4	TIMM22	0.382548
TASL	TNFAIP8L2	0.382473
ARHGAP9	IKZF1	0.382351
ADGRL4	ARHGEF15	0.382047
DHX30	DCAF1	0.381954
PCDH17	DIPK2B	0.381853
CCT5	ICE1	0.38182
DOCK8	IKZF1	0.381594
MED4	NUDT15	0.381534
MS4A7	FPR3	0.381442
ARIH2	QRICH1	0.381328
ADGRL4	TM4SF18	0.381223
LRRC25	FPR3	0.38122
ROBO4	ARHGEF15	0.381182
CD33	MS4A6A	0.381012
ARHGEF6	IL16	0.380964
DOK2	SPN	0.380917
CORO1A	GNG2	0.380664
DOCK2	LAPTM5	0.3806
BTK	FPR3	0.3806
BTK	LCP2	0.380556
IDH3G	VAMP7	0.380549
DIPK2B	CLEC14A	0.380463
TEK	CD93	0.380323
BTK	FAM78A	0.380319
CD86	TRPV2	0.380313
LY86	CD86	0.380127
WAS	GPR65	0.379917
ADGRF5	KDR	0.379842
FARS2	NSMCE1	0.379829
C1orf162	AIF1	0.379807
HOXD10	HOXD-AS2	0.379748
PDGFRB	LDB2	0.379746
ARHGAP25	IL16	0.379718
CORO1A	RHOH	0.379717
LCP2	GNG2	0.379617
WAS	FAM78A	0.379326
ABI3	GAB3	0.379323
TIE1	ARHGEF15	0.379218
CORO1A	TESPA1	0.379217
LDB2	ARHGEF15	0.379209
OTUD5	GPKOW	0.379072
SIL1	CASZ1	0.378869
TIE1	CD34	0.378839
CYTH4	ARHGAP9	0.378793
NSUN2	ICE1	0.378789
STAU1	RALGAPB	0.378602
MS4A6A	MNDA	0.378383
ZNF671	SASH3	0.378228
DCAF1	SETD2	0.377998
CD4	ABI3	0.377986
RASAL3	GAB3	0.377966
CD86	FERMT3	0.377959
IFFO1	BTK	0.377885
AKNA	LCK	0.377874
RASAL3	IKZF3	0.377745
FAM78A	SPN	0.377727
DOK2	SNX20	0.377682
PSME2P2	PSME2P1	0.377636
AKNA	SEPTIN1	0.377552
RAMP3	ADGRL4	0.377457
ADGRL4	LDB2	0.377316
RASAL3	JAK3	0.377314
CCDC82	CEP57	0.37723
AAMP	CNOT9	0.377173
TNFAIP8L2	AIF1	0.377112
SASH3	PIK3R5	0.377098
DOCK2	HAVCR2	0.377017
HOXD9	HOXD-AS2	0.376934
EMCN	ARHGEF15	0.376926
CD33	AIF1	0.376881
DCUN1D1	SENP2	0.376744
NSUN2	TENT4A	0.37667
GOLGA6L9	UBE2Q2P2	0.376428
SELPLG	ARHGAP9	0.376397
SASH3	CD226	0.376382
TTI1	RPRD1B	0.376277
ACAP1	JAK3	0.37611
SIL1	MMAB	0.376073
NCKAP1L	PARVG	0.376026
TIE1	LDB2	0.375863
MAP4K1	IKZF1	0.37579
DOK2	TRPV2	0.375658
DOK2	FERMT3	0.375468
ASPM	CENPF	0.375401
RTN4IP1	PDSS2	0.375396
PTPN23	RNF123	0.375139
BRD9	CLPTM1L	0.374733
CORO1A	RAB33A	0.374583
ARHGEF6	RHOH	0.374516
DOCK2	NLRC3	0.374427
TIE1	EMCN	0.374361
ADGRF5	COL4A1	0.373768
WAS	DOCK8	0.373689
CD93	ADGRL4	0.373679
RTN4IP1	NSMCE1	0.373645
ACAP1	TESPA1	0.37358
TWNK	NOLC1	0.373408
IL16	GIMAP1	0.373361
SASH3	LCK	0.373252
NSUN2	MRPL36	0.373085
ZNF529	ZNF260	0.372756
ACAP1	AKNA	0.372707
DOCK8	NCKAP1L	0.372661
SPI1	MYO1F	0.372633
CACTIN	DOHH	0.372553
PDGFRB	CD34	0.372454
PTPN7	RHOH	0.372361
NCKAP1L	GIMAP8	0.372333
ABI3	DOCK2	0.372257
HADHA	HADHB	0.372233
TEK	S1PR1	0.372161
ELOB	CCDC57	0.372121
LRRC32	LDB2	0.371964
NCKAP1L	DOK2	0.371846
TYROBP	HAVCR2	0.371744
FCGR2A	FCER1G	0.371719
CD14	LRRC25	0.371646
ZNF529	ZNF527	0.371582
ZNF671	GIMAP1	0.371539
RASAL3	CASP4LP	0.370965
ESAM	GPR4	0.370905
CSTF1	MOCS3	0.370755
LCP2	TAGAP	0.370739
TESPA1	SEPTIN1	0.370654
ADGRL4	GPR4	0.37064
CD93	CD34	0.370636
BTK	LY86	0.370569
TRAPPC11	RWDD4	0.370559
WAS	ABI3	0.370507
FCGR2A	C3AR1	0.370499
PLVAP	TM4SF18	0.370482
NAA50	NEPRO	0.3704
DCAF1	WDR82	0.370264
ARHGEF6	TESPA1	0.370198
FAM76B	CCDC82	0.370182
RAB33A	IL16	0.370028
TRAF3IP3	IKZF1	0.369891
PARVG	GAB3	0.369694
TRAF3IP3	RHOH	0.36954
CD4	C3AR1	0.369498
RFC1	UBE2K	0.369395
NOVA2	ROBO4	0.369353
ATP5F1E	RPS21	0.36935
BRPF1	SETD5	0.369247
PIK3CG	SEPTIN1	0.369154
CD33	LRRC25	0.36904
PLVAP	ARHGEF15	0.369011
CORO1A	GIMAP1	0.368821
PLK4	CCNA2	0.36878
SELPLG	PTPN7	0.368725
CASZ1	FARS2	0.368714
NUFIP1	GPALPP1	0.368645
TESPA1	SPN	0.368569
TESPA1	GAB3	0.368533
ACAP1	SPN	0.368477
ADGRF5	ROBO4	0.36841
FERMT3	ARHGAP25	0.368335
NCKAP1L	CD226	0.36827
PIK3R5	LAPTM5	0.368224
BTK	LAPTM5	0.368214
ABHD17A	TMEM259	0.368104
MYO1F	ARHGAP25	0.368083
SIGLEC9	MS4A7	0.368048
CD86	PIK3R5	0.368026
HMGB1P10	HMGB1P6	0.368011
BCL7C	RTN4IP1	0.367965
SELPLG	PIK3R5	0.367964
DCAF1	ARIH2	0.36794
PSME1	PSME2	0.367922
TM4SF18	GPR4	0.367902
PARVG	PIK3R5	0.367849
CD93	S1PR1	0.36778
CLEC2D	SEPTIN1	0.367502
SPI1	AIF1	0.367362
ARIH2	IFRD2	0.367207
CD4	FPR3	0.367125
ING2	RWDD4	0.367016
PLVAP	EXOC3L2	0.36694
CYTH4	SNX20	0.366891
NCKAP1L	PTPN7	0.366769
FAM78A	PIK3R5	0.366739
NCKAP1L	GIMAP1	0.366655
ADGRL4	CLEC14A	0.366512
TESPA1	GIMAP1	0.366506
NCKAP1L	AIF1	0.366419
SPI1	LY86	0.366322
BTK	CD86	0.366269
TENT4A	ICE1	0.366146
CD4	RASSF4	0.366024
DOCK2	ARHGAP25	0.365972
IL16	SPN	0.365937
ABCE1	OTUD4	0.36579
RASAL3	CD226	0.365602
GPKOW	TIMM17B	0.365587
BYSL	POLR1C	0.365513
RASSF4	NCKAP1L	0.365427
TWNK	PDCD11	0.365368
KIF15	TRAIP	0.365169
LCP2	NLRC3	0.365138
DCAF1	SMARCC1	0.3651
RPS16	TIMM50	0.365088
RANBP3	PIAS4	0.365081
TIE1	CLEC14A	0.36481
TNFRSF10A	TNFRSF10A-AS1	0.364809
DOCK2	MYO1G	0.36478
NUFIP1	MED4	0.364774
PLCB2	FERMT3	0.364656
KDR	TM4SF18	0.364344
ABI3	TRPV2	0.36431
DCST2	DCST1	0.364286
RASAL3	ARHGAP25	0.364277
RALGAPB	NCOA6	0.364271
GPR65	MYO1F	0.364049
PIK3CG	ARHGEF6	0.364022
ELAC2	SCO1	0.364016
RCL1	UHRF2	0.364004
FERMT3	C3AR1	0.36399
NUFIP1	ZC3H13	0.363953
WAS	ARHGAP25	0.363754
MS4A6A	CD86	0.363754
NCKAP1L	TAGAP	0.363736
WAS	MAP4K1	0.363648
FLT1	GPR4	0.363618
HAVCR2	MYO1F	0.363361
BEX3	TCEAL9	0.363351
NLRC3	RHOH	0.36328
TYROBP	LY86	0.36327
TRAF3IP3	LCP2	0.363197
DISP1	NSMCE1	0.363033
CD4	MS4A6A	0.362879
MS4A6A	LRRC25	0.362808
PIAS4	CACTIN	0.362459
NLRC3	IL16	0.362419
CD4	TYROBP	0.362401
CDC37L1	KDM4C	0.36231
CD37	ARHGEF6	0.362298
HOXD9	HOXD10	0.36226
SMUG1	RTN4IP1	0.362256
CD33	SLC8A1	0.36215
TTI1	RALGAPB	0.362026
EEF1A1P9	EEF1A1P19	0.361969
GAB3	IKZF1	0.361956
MAP4K1	RHOH	0.361937
RASSF4	FERMT3	0.361908
SASH3	TRPV2	0.361887
WAS	GNG2	0.361817
PDGFRB	OLFML2B	0.361732
MYCT1	TM4SF18	0.361655
CD4	APBB1IP	0.361627
BTK	GIMAP1	0.361586
WAS	MYO1G	0.361538
