GenA	GenB	MI
CD37	NCKAP1L	0.476991
ARHGAP9	NLRC3	0.476389
PTPN7	NLRC3	0.476061
PIK3CG	PIK3R5	0.475978
NCKAP1L	GAB3	0.475233
TTN	TTN-AS1	0.475201
BCL7C	DISP1	0.474864
MYCT1	ADGRL4	0.474559
DOCK2	IL16	0.474513
IL16	SEPTIN1	0.474401
CORO1A	SASH3	0.47425
WAS	CORO1A	0.474068
NLRC3	LCK	0.473591
FCER1G	C3AR1	0.472842
SIGLEC9	C3AR1	0.472478
TM4SF18	CD34	0.472219
RPLP2	MRPL23	0.471967
LCP2	PTPN7	0.471779
DIPK2B	EMCN	0.471494
DIPK2B	ADGRL4	0.46991
SPI1	CD33	0.469814
PTPN7	SNX20	0.469575
ELOB	SMUG1	0.468783
HAVCR2	FCER1G	0.46871
ROBO4	TM4SF18	0.468415
CASZ1	NSMCE1	0.46827
NCKAP1L	HAVCR2	0.467658
PARVG	MYO1F	0.467384
BTK	TRPV2	0.467326
TYROBP	LRRC25	0.467092
TIE1	MYCT1	0.466589
ZNF547	TRAPPC2B	0.466577
WAS	SASH3	0.466468
ADGRL4	CD34	0.466165
NSUN2	CCT5	0.465201
PIK3R5	MYO1F	0.464954
BTK	MS4A6A	0.464912
ZNF443	ZNF799	0.464827
SASH3	GIMAP1	0.464732
PDGFRB	LRRC32	0.463798
RIC1	KDM4C	0.463478
MNDA	AIF1	0.463467
LCP2	RASAL3	0.46319
MS4A6A	AIF1	0.462887
BCL7C	SIL1	0.462372
SIGLEC9	LRRC25	0.461859
ZNF529	ZNF567	0.460475
PIK3CG	SNX20	0.460351
RASAL3	IKZF1	0.460304
SIL1	NSMCE1	0.459725
LCP2	CD226	0.45949
DOCK2	SNX20	0.458866
FAM157A	LINC01002	0.458833
CORO1A	ARHGAP9	0.458713
APBB1IP	MYO1F	0.457796
PCDH17	ADGRL4	0.457537
LCP2	PIK3CG	0.457425
TBC1D7	FARS2	0.457281
MMAB	CCDC57	0.457085
FCER1G	FPR3	0.456736
LCP2	CORO1A	0.456734
PLVAP	ADGRL4	0.456265
DIPK2B	ROBO4	0.456247
ATP5F1E	RPS21	0.456187
CYTH4	FERMT3	0.456027
WAS	PIK3R5	0.455321
ADGRF5	GPR4	0.454972
TYROBP	SPI1	0.454485
PIK3CG	IL16	0.454422
TYROBP	CD86	0.454297
PIK3R5	IKZF1	0.454103
CLEC14A	ARHGEF15	0.45392
CD37	DOCK2	0.453873
GAB3	SNX20	0.453337
GIMAP8	GIMAP1	0.453071
FERMT3	SNX20	0.452965
GIMAP6	SPN	0.452907
SIL1	CCDC57	0.452745
BCL7C	MMAB	0.452649
PUM3	RCL1	0.452602
SMUG1	PPCDC	0.451882
SPI1	FERMT3	0.451856
ACAP1	IL16	0.45136
MMAB	NSMCE1	0.451359
PPCDC	MMAB	0.451216
CYTH4	SASH3	0.449399
GIMAP6	GIMAP8	0.449372
STT3A	SRPRA	0.449246
CD34	ARHGEF15	0.449124
RASAL3	DOCK2	0.44902
MS4A6A	NCKAP1L	0.448879
ZNF816	ZNF888	0.447758
BTK	MYO1F	0.447699
DIPK2B	TM4SF18	0.447478
GPR65	FERMT3	0.447324
FAM78A	PTPN7	0.447259
TIE1	DIPK2B	0.447101
RIC1	UHRF2	0.446768
SASH3	IKZF1	0.446663
NCKAP1L	IKZF1	0.446376
BTN3A1	BTN3A3	0.446219
WAS	PTPN7	0.44474
GTF2IRD2B	GTF2IRD2	0.444388
PTPN7	LCK	0.443743
CASZ1	MMAB	0.443702
BTK	CD37	0.442922
WAS	IKZF1	0.442852
SPI1	MNDA	0.442411
BTK	PIK3CG	0.442053
MYO1F	TRPV2	0.441943
ADGRL4	PECAM1	0.441307
RPS10P7	CSRP1-AS1	0.441153
NCKAP1L	GPR65	0.440809
CD37	IL16	0.440545
BTK	SNX20	0.440341
ZNF28	ZNF468	0.440318
MYCT1	CD34	0.44016
SASH3	ARHGAP9	0.43961
BTK	WAS	0.439433
LYRM2	RTN4IP1	0.439069
BTK	PIK3R5	0.438456
BCL7C	MICOS10	0.438333
FAM3C2P	FAM3C	0.438069
HAVCR2	FERMT3	0.437993
TEK	CLEC14A	0.437898
TMEM258	SDHAF2	0.437827
IL16	IKZF1	0.437514
PIK3CG	FERMT3	0.437201
LCP2	ARHGAP9	0.437145
COPZ1	ATP5MC2	0.43694
LCP2	CYTH4	0.436315
LDB2	CD34	0.436104
PSMA1	RPLP2	0.436032
ZNF577	ZNF649	0.43594
GIMAP6	GPR65	0.435447
BCL7C	FARS2	0.435357
CD37	PIK3CG	0.433738
PTPN7	IL16	0.433579
CD86	FPR3	0.433399
CTNNBL1	RPS21	0.433288
NCKAP1L	GIMAP6	0.433281
BTK	DOCK2	0.432947
ADGRF5	CD93	0.43288
RASAL3	SNX20	0.432475
PLVAP	CD34	0.432326
MYO1F	GAB3	0.432291
H2BC5	H2AC6	0.432071
LCP2	SNX20	0.431981
RNF123	USP19	0.43197
RBAK	ZNF12	0.431901
WAS	IL16	0.431839
WAS	ACAP1	0.431334
RASAL3	TESPA1	0.431292
CORO1A	IL16	0.430997
PIK3CG	GAB3	0.430741
SIL1	MMAB	0.430736
ADGRF5	CD34	0.4306
ABI3	NCKAP1L	0.430598
ZNF567	ZNF260	0.430496
BCL7C	TMEM219	0.430384
TESPA1	SNX20	0.430329
RHOH	SEPTIN1	0.430103
TIE1	TEK	0.429983
COL4A2	COL4A1	0.429435
ACAP1	CORO1A	0.429433
DROSHA	NIPBL	0.429424
ADAMTS2	PDGFRB	0.429391
ARHGAP9	LCK	0.429236
APBB1IP	PIK3R5	0.428823
PIK3CG	SELPLG	0.428639
ELOB	CCDC57	0.42853
RASAL3	SPN	0.428466
WAS	PARVG	0.428308
BRD9	CLPTM1L	0.427936
CORO1A	SNX20	0.427716
RNASE6	AIF1	0.427633
PTPN7	SEPTIN1	0.427477
FARS2	NSMCE1	0.427444
NOVA2	ARHGEF15	0.427047
TMEM219	NSMCE1	0.426953
BTK	SPI1	0.426251
TEK	EMCN	0.42607
ARHGAP9	SPN	0.42602
CD34	CLEC14A	0.425959
TESPA1	IL16	0.425889
TBC1D7	LYRM4	0.425674
PCID2	CUL4A	0.425504
ARHGAP9	IL16	0.42548
LCP2	GPR65	0.425414
TYROBP	FPR3	0.425361
SASH3	GPR65	0.425094
ELOB	CASZ1	0.424986
NCKAP1L	FAM78A	0.424632
CCT5	ICE1	0.424375
NCKAP1L	IL16	0.424243
CD33	MS4A6A	0.423829
TEK	LDB2	0.423661
DOCK2	SPN	0.423603
NSUN2	ICE1	0.423436
ATP5MC2	NSMCE1	0.423288
NSMCE1	LCMT1	0.423223
NCKAP1L	SPN	0.423202
ASMTL-AS1	LINC00106	0.423186
FAM78A	FERMT3	0.422954
BTK	GPR65	0.422928
CD4	CD33	0.42269
SASH3	NLRC3	0.422639
MYCT1	EMCN	0.422556
RTL8C	RTL8A	0.422473
TEK	MYCT1	0.422366
TEK	CD93	0.422318
PIK3R5	FERMT3	0.42226
DIPK2B	CLEC14A	0.422203
PIK3CG	RHOH	0.421966
LCP2	IKZF1	0.421904
CD37	RASAL3	0.421081
FCER1G	LRRC25	0.420913
NLRC3	SPN	0.420869
FAM76B	CEP57	0.420838
SELPLG	DOCK2	0.420722
NUP155	NIPBL	0.420475
APBB1IP	SASH3	0.420418
WAS	TESPA1	0.420412
SEPTIN1	IKZF1	0.420126
CD93	ADGRL4	0.420123
LCP2	GAB3	0.419872
LCP2	PIK3R5	0.419841
DOCK2	GAB3	0.419674
MS4A6A	MS4A7	0.419344
RPS21	ZFAS1	0.419077
MNDA	SLC39A13-AS1	0.41882
WAS	GPR65	0.418567
RHOH	IL16	0.418501
DOCK8	DOCK2	0.418435
SASH3	TESPA1	0.41842
PSMA1	SDHAF2	0.41839
ADGRF5	TM4SF18	0.418368
LCP2	DOCK8	0.418025
TEK	ADGRL4	0.417915
CORO1A	LCK	0.417805
MS4A6A	C3AR1	0.417715
PLK4	MAD2L1	0.417643
CCR1	C3AR1	0.417178
SPI1	FCER1G	0.417173
RTN4IP1	NSMCE1	0.417167
FAM78A	IL16	0.417029
SASH3	ARHGEF6	0.416826
LCP2	TRPV2	0.416815
CD93	DIPK2B	0.416731
APBB1IP	IKZF1	0.416583
BTK	CD33	0.416561
TRAPPC11	RWDD4	0.416265
CD4	CD86	0.416242
RAD1	NIPBL	0.416213
GOLGA6L9	UBE2Q2P2	0.416115
RWDD4P2	RWDD4	0.41552
PCDH17	CD34	0.415468
TASL	TNFAIP8L2	0.415059
CORO1A	SEPTIN1	0.415025
RASAL3	MYO1F	0.415017
BTK	SASH3	0.414985
SELPLG	RHOH	0.414676
BTK	TASL	0.414329
GPR65	TRPV2	0.414319
TYROBP	AIF1	0.414287
MAP4K1	LCK	0.414267
FERMT3	GIMAP1	0.414043
MAP4K1	NLRC3	0.413769
TM4SF18	ARHGEF15	0.413762
CCR1	LRRC25	0.413652
SPI1	ABI3	0.412813
HAVCR2	TRPV2	0.412773
CD33	NCKAP1L	0.41258
TEK	S1PR1	0.412502
WAS	SEPTIN1	0.412483
MYL12A	MYL12B	0.41243
TEK	CD34	0.412167
MYO1F	IL16	0.412069
PTMAP2	PTMAP5	0.411923
BCL7C	RTN4IP1	0.411775
FERMT3	FPR3	0.411649
ELOB	MMAB	0.411647
DCST2	DCST1	0.411553
FAM78A	SPN	0.411248
FAM78A	DOCK2	0.411187
CD4	MYO1F	0.411148
TIE1	ARHGEF15	0.410808
EMCN	LDB2	0.410798
WAS	TRPV2	0.410727
SIL1	SMUG1	0.41044
MNDA	C3AR1	0.410435
CD86	NCKAP1L	0.410348
ARHGEF6	DOCK2	0.410329
CD37	PIK3R5	0.409586
PIK3CG	MYO1F	0.409348
ARHGAP9	SNX20	0.409344
ACAP1	SASH3	0.409327
SNX20	IL16	0.409228
NIPBL	ZNF131	0.409172
CORO1A	DOCK2	0.408963
RAD1	NUP155	0.408669
ARHGAP9	TESPA1	0.408525
PIK3CG	SPN	0.408311
RTN4IP1	PDSS2	0.408304
SASH3	TAGAP	0.40802
CCDC82	CEP57	0.407951
C5orf22	RAD1	0.407676
DCUN1D1	SENP2	0.407615
MS4A6A	CD86	0.407368
DOCK2	TRPV2	0.407129
MYO1F	SNX20	0.407109
LY86	CD86	0.40701
CD37	SPN	0.406917
ACAP1	RHOH	0.406206
CD37	FAM78A	0.406087
WAS	CYTH4	0.405757
TNFAIP8L2	AIF1	0.405744
ADGRL4	TM4SF18	0.405376
SIL1	PPCDC	0.4053
CD37	SNX20	0.405262
CD4	DOCK2	0.405255
MICOS10	CCDC57	0.405019
ARHGAP9	MYO1F	0.40487
CCDC57	RPLP2	0.404859
DHX30	ARIH2	0.404815
BCL7C	PPCDC	0.404739
DROSHA	NUP155	0.404458
TYROBP	MS4A6A	0.404421
PAIP1	ZNF131	0.4044
TYROBP	SIGLEC9	0.404343
ARHGAP9	DOCK2	0.404326
CD4	CSF1R	0.404235
ADGRF5	PCDH17	0.404214
TM4SF18	CLEC14A	0.404143
ABI3	GNGT2	0.403979
MAP4K1	IL16	0.403925
TUSC2	SPCS1	0.403633
SASH3	MYO1F	0.403571
ADGRL4	GPR4	0.403476
DCAF1	USP19	0.403158
EEF1A1P12	EEF1A1P19	0.403129
CD4	WAS	0.402884
CYTH4	PTPN7	0.402798
LCP2	RHOH	0.402689
RTN4IP1	CCDC57	0.402622
MNDA	FPR3	0.402524
TTI1	RPRD1B	0.402398
STAU1	RALGAPB	0.402271
BEX3	TCEAL9	0.402238
MYCT1	CLEC14A	0.402186
SPI1	NCKAP1L	0.402159
PIK3CG	DOCK8	0.401995
GPKOW	CCDC22	0.401975
MYCT1	TM4SF18	0.401939
NOVA2	ROBO4	0.401739
SIGLEC9	FPR3	0.401678
IL16	LCK	0.40164
BCL7C	RPLP2	0.401399
FAM78A	MYO1F	0.401127
DOCK2	PTPN7	0.401126
RASAL3	GAB3	0.401051
LCP2	HAVCR2	0.400993
MS4A7	C3AR1	0.400969
WAS	ARHGAP25	0.400961
EMCN	ARHGEF15	0.400802
CD4	GAB3	0.400721
NIPBL	DNAJC21	0.400394
SHARPIN	HSF1	0.400238
PUM3	MTAP	0.400224
RASAL3	NCKAP1L	0.400083
PTPN23	USP19	0.399996
C5orf22	DROSHA	0.399824
APBB1IP	CD226	0.399791
TIE1	CLEC14A	0.399597
CD37	MYO1F	0.399433
SPI1	LY86	0.399393
CD86	FERMT3	0.399344
PIGU	RALY	0.399007
ABI3	FERMT3	0.398852
RASAL3	PIK3CG	0.398754
ACAP1	IKZF1	0.398726
C1orf162	AIF1	0.3985
CYTH4	FAM78A	0.398411
KIF11	KIF20B	0.398397
MYCT1	CD93	0.398377
PIK3R5	IL16	0.398335
FARS2	CCDC57	0.398284
ROBO4	ARHGEF15	0.397965
CD37	IKZF1	0.397957
ADGRF5	KDR	0.397897
MKRN2	BRPF1	0.397873
SIGLEC9	FCER1G	0.397743
ADGRL4	ARHGEF15	0.397592
PDGFRB	OLFML2B	0.397448
PCDH17	ARHGEF15	0.397331
LCP2	GNG2	0.397272
TIE1	EMCN	0.39694
LCP2	SPN	0.396928
ARHGAP25	IL16	0.396723
ZXDA	ZXDB	0.396626
RAF1	BRPF1	0.396541
NBPF14	NBPF10	0.396428
GPR65	CCR1	0.396416
PRKCQ	PRKCQ-AS1	0.396415
APBB1IP	PIK3CG	0.396011
TIE1	ADGRL4	0.39598
IFFO1	GIMAP1	0.395943
TYROBP	MS4A7	0.39585
FLT1	GPR4	0.39579
DCAF1	SETD2	0.395712
CYTH4	NCKAP1L	0.395659
RAMP3	ADGRL4	0.395608
BTK	LY86	0.395602
RASAL3	FERMT3	0.395475
CORO1A	SPN	0.395457
DIPK2B	LDB2	0.395441
SMUG1	ATP5MC2	0.395345
CD4	MS4A6A	0.395249
FERMT3	ARHGAP25	0.395204
CD33	MNDA	0.395107
PIK3CG	CD226	0.395068
BTK	MNDA	0.395066
UBA3	PSMD6	0.395059
MS4A6A	RNASE6	0.394978
PIK3CG	TAGAP	0.394902
KDR	TM4SF18	0.394702
SEC13	ARF4	0.394414
WAS	SPN	0.394398
FCER1G	MS4A7	0.394367
HAVCR2	FPR3	0.394181
ARIH2	IFRD2	0.394118
DVL3	UBXN7	0.393911
NSUN2	MRPL36	0.393764
DISP1	NSMCE1	0.393707
PARP9	DTX3L	0.393703
NCKAP1L	GIMAP1	0.393522
RASAL3	RHOH	0.39346
PCDH17	DIPK2B	0.393432
BCL7C	C7orf50	0.393274
SPI1	AIF1	0.393205
MYCT1	ARHGEF15	0.393083
UHRF2	BRD10	0.393046
DOCK2	SEPTIN1	0.392993
WAS	GIMAP1	0.392842
ACAP1	DOCK2	0.392761
CD37	GIMAP1	0.392517
HOXB2	HOXB4	0.39246
WAS	CD226	0.392309
ELAC2	SCO1	0.391996
TNFRSF10A	TNFRSF10A-AS1	0.391913
TYROBP	FERMT3	0.39186
C5orf22	GOLPH3	0.391859
PCDH17	PLVAP	0.391608
PTPN23	RNF123	0.391601
PLK4	CCNA2	0.391561
UBA2	LSM14A	0.391443
BTK	CD86	0.391116
KDR	CD34	0.391024
PPCDC	CCDC57	0.390899
CYTH4	RASAL3	0.39082
BTK	AIF1	0.390638
CYTH4	CORO1A	0.390566
TESPA1	SPN	0.390484
APBB1IP	RASAL3	0.390482
C5orf22	DNAJC21	0.390461
ZNF563	ZNF442	0.390337
ARHGAP9	FAM78A	0.390292
ATAD2	MTBP	0.390126
BTK	GIMAP1	0.390102
CD33	AIF1	0.390062
TLR4	ZEB2	0.389974
APBB1IP	IL16	0.389955
JAM2	LDB2	0.389869
LYRM2	PDSS2	0.38962
KDM7A	KDM7A-DT	0.389585
MS4A6A	FPR3	0.389492
RASAL3	CD226	0.389337
CD93	CD34	0.389012
MS4A6A	LY86	0.388977
NSUN2	TENT4A	0.388952
TYROBP	HAVCR2	0.388843
NCKAP1L	AIF1	0.388704
BTK	FPR3	0.388697
WAS	RHOH	0.388684
BTK	TYROBP	0.38865
RTN4IP1	MMAB	0.388297
PLVAP	EXOC3L2	0.388273
CORO1A	MYO1F	0.388181
DOCK2	LCK	0.388088
TENT4A	ICE1	0.388082
TESPA1	PTPN7	0.388064
LCP2	CD37	0.38802
BTK	C3AR1	0.387991
CYTH4	IL16	0.387942
CD4	LY86	0.387924
RASAL3	IKZF3	0.387922
SIL1	CASZ1	0.3878
PARVG	FERMT3	0.387634
PLVAP	TM4SF18	0.38757
ARHGAP9	IKZF1	0.387542
VAMP7	VBP1	0.387437
NCKAP1L	FPR3	0.387409
NOS1AP	C1orf226	0.387364
FCER1G	AIF1	0.387206
MYO1F	GIMAP1	0.387197
RPS16	TIMM50	0.387141
TYROBP	LY86	0.387008
BCL7C	LCMT1	0.386935
FAM78A	GIMAP1	0.386728
SASH3	DOK2	0.386544
ARHGAP9	RHOH	0.386489
PIK3CG	GIMAP6	0.386456
RASSF4	NCKAP1L	0.386223
PSMA1	MRPL23	0.385928
DROSHA	RAD1	0.385923
LCP2	GIMAP6	0.385858
AAMP	CNOT9	0.385517
RAB33A	IL16	0.385503
HAVCR2	LAPTM5	0.385494
CYTH4	ARHGAP9	0.384617
GLOD4	TIMM22	0.384499
EMCN	CD34	0.384452
SELPLG	IL16	0.384339
HOXD9	HOXD-AS2	0.384319
NDUFA10	COPS9	0.3843
PKD1P3	PKD1P6	0.384232
FERMT3	GAB3	0.384188
RASSF4	HAVCR2	0.384149
CD4	FCER1G	0.384096
CD4	HAVCR2	0.384064
SASH3	SEPTIN1	0.383998
CD93	S1PR1	0.383983
RASAL3	GIMAP1	0.383868
CCNA2	MAD2L1	0.383764
DOCK2	ARHGAP25	0.383597
ADGRF5	COL4A1	0.383493
LCP2	SELPLG	0.383429
NOVA2	DIPK2B	0.383314
BTK	HAVCR2	0.383162
UBP1	BRPF1	0.383108
PIK3R5	GAB3	0.383075
ADGRF5	ROBO4	0.383057
MMAB	FARS2	0.382867
HSPA12B	DIPK2B	0.382832
MYO1F	ARHGAP25	0.382814
FAM78A	SNX20	0.382766
ABCE1	OTUD4	0.382751
SIL1	FARS2	0.38272
FERMT3	C3AR1	0.382657
SMUG1	FARS2	0.382571
BTK	GAB3	0.382571
CYTH4	TRPV2	0.382471
ESAM	TM4SF18	0.382335
TIE1	CD34	0.382326
LCP2	ACAP1	0.382311
PSMA1	NDUFA9	0.382243
RFC1	UBE2K	0.381985
CASZ1	FARS2	0.381979
DOCK8	IKZF1	0.381901
NOVA2	PLVAP	0.381534
ACAP1	CD37	0.381508
RAD1	ZNF131	0.381417
CD4	TYROBP	0.381392
DOK2	SPN	0.381355
WAS	ABI3	0.381306
MYCT1	S1PR1	0.381207
KDR	PLVAP	0.380901
PPCDC	NSMCE1	0.380853
CORO1A	FERMT3	0.380835
TEK	HSPA12B	0.380589
DOCK2	CD226	0.380545
MS4A6A	MNDA	0.380494
RPL32P18	RPL15P3	0.37996
DOCK2	RHOH	0.379847
LCP2	IL16	0.379815
WAS	SELPLG	0.379588
SASH3	LCK	0.379559
MNDA	LRRC25	0.379462
PAFAH1B1	PSMB6	0.379363
GPR65	SNX20	0.379361
ATP5MC2	CCDC57	0.379146
TESPA1	GIMAP1	0.379109
NOVA2	TM4SF18	0.379076
CORO1A	CD37	0.378882
ARHGAP9	GAB3	0.37867
TYROBP	C1orf162	0.378479
LCP2	FAM78A	0.378436
PSME2P2	PSME2P1	0.378401
ACAP1	TESPA1	0.378332
MS4A6A	FCER1G	0.378139
ACTL6A	DNAJC19	0.378106
NCKAP1L	PTPN7	0.378037
STT3A	DPAGT1	0.377818
RNF4	TADA2B	0.377751
RPL17P6	RPL17P18	0.377515
RASSF4	FERMT3	0.377389
FERMT3	IL16	0.377332
RAMP3	DIPK2B	0.377215
SMUG1	RTN4IP1	0.377195
SASH3	GAB3	0.377124
USP19	SETD2	0.377042
PLCB2	FERMT3	0.377039
BRD9	NSUN2	0.376907
TYROBP	MNDA	0.376842
PDGFRB	ZEB1	0.376833
SPI1	MYO1F	0.37675
MS4A6A	HAVCR2	0.376472
NCKAP1L	ARHGEF6	0.376365
CORO1A	GNG2	0.376361
NCKAP1L	MNDA	0.376333
TRAF3IP3	SASH3	0.37632
FAM76B	CCDC82	0.37622
RBM5	NISCH	0.376112
PLVAP	ARHGEF15	0.376002
NAA50	QTRT2	0.375952
ZNF529	ZNF420	0.375894
LRRC25	FPR3	0.375892
GIMAP6	DOK2	0.375886
NCKAP1L	PARVG	0.375877
BABAM1	UBA52	0.375863
IFFO1	BTK	0.375663
CORO1A	NCKAP1L	0.37562
RASSF4	TRPV2	0.375595
CCT5	MRPL36	0.375531
BRPF1	SETD2	0.375463
ATP6V1C1	WASHC5	0.375461
PIK3CG	ARHGAP9	0.375356
FBXO8	CEP44	0.37511
ZNF816	ZNF468	0.374925
APBB1IP	CORO1A	0.374685
CACTIN	DOHH	0.374601
PSMB6	TIMM22	0.374569
RANBP3	PIAS4	0.374549
SCAP	DHX30	0.374462
GPR65	LRRC25	0.374271
ADGRF5	PCDH12	0.374226
NCKAP1L	CD226	0.374209
WAS	DOCK8	0.374125
CD4	PIK3R5	0.374012
GIMAP6	DOCK2	0.373972
WAS	FAM78A	0.373917
HAVCR2	MYO1F	0.373858
RTN4IP1	CASZ1	0.373804
DOCK8	SASH3	0.373794
CD226	IKZF1	0.373791
MAP4K1	IKZF1	0.373501
BRIX1	NIPBL	0.373219
CD93	GPR4	0.373194
RAD1	BRIX1	0.373189
HOXD9	HOXD10	0.37287
CD37	ARHGAP25	0.372868
RASAL3	GNG2	0.372838
CCDC57	MIGA1	0.372834
ABI3	AIF1	0.372804
TEK	JAM2	0.372789
DCAF1	SMARCC1	0.372734
NSMCE1	MICOS10	0.372689
SDHA	NDUFS6	0.372667
SATB2	SATB2-AS1	0.372666
CASZ1	MICOS10	0.372316
DHX30	USP19	0.372107
CD34	GPR4	0.372067
ZNF567	ZNF527	0.372028
NSMCE1	RPLP2	0.372024
ABI3	GAB3	0.37202
DNAJC21	ZNF131	0.371997
ARHGEF6	IL16	0.371926
NCKAP1L	ARHGAP25	0.371859
ING2	RWDD4	0.371753
ABI3	SNX20	0.371668
MTRR	FASTKD3	0.371665
PRPF31	HSPBP1	0.371625
BCL7C	ATP5MC2	0.371597
ACAP1	FAM78A	0.371547
SUCLA2	MED4	0.371403
STK25	MTERF4	0.371258
PTPN7	FERMT3	0.371252
RAB33A	SEPTIN1	0.3712
MS4A6A	FERMT3	0.371173
CD33	FERMT3	0.371123
APBB1IP	HAVCR2	0.371037
WAS	PLCB2	0.370958
TM4SF18	GPR4	0.370941
PAFAH1B1	TIMM22	0.370931
SNX20	TRPV2	0.370619
RASAL3	SELPLG	0.370484
ESAM	GPR4	0.370455
PIK3CG	PTPN7	0.370345
FAM78A	NLRC3	0.370231
MAP4K1	ARHGAP9	0.370017
APBB1IP	DOCK8	0.36993
PLVAP	ESAM	0.369911
DOCK8	NCKAP1L	0.369885
WDR70	DROSHA	0.369797
BTK	CYTH4	0.369754
ZNF529	ZNF260	0.369674
DCUN1D1	DVL3	0.36966
DOK2	TNFAIP8L2	0.369622
SNRPN	CCDC57	0.36954
ABHD17A	TMEM259	0.369446
DOK2	SNX20	0.369065
SELPLG	IKZF1	0.369057
COPS9	UBE2F	0.369051
PDCD11	NOLC1	0.369021
DHX30	DCAF1	0.368916
NDUFB2	SEM1	0.368891
GAB3	IKZF1	0.368753
TESPA1	SEPTIN1	0.368711
GPR65	GIMAP1	0.368633
CD93	ARHGEF15	0.36861
